name,category,source,url,lat,lng,insider_note,address,phone,email,description,amenities,spaces,features,hours_url,reservations_url,collected_at,scrape_error,building,noise_level,food_drink,access,hours_note,coffee,food,wifi,outlets,outlets_note,indoor_outdoor,hours,area,food_nearby,best_for,weather_dependent,campus_zone,feature_count,study_score,dist_to_nearest_cafe_m
Ackerman Union Open Study,study_lounge,asucla_website,https://www.asucla.ucla.edu/study-lounges,34.0707,-118.444,Hit or miss depending on room availability. Good for groups.,,,,Any unreserved meeting room in Ackerman Union is available as open study space. Check the schedule posted next to each room entrance.,,,"['wifi', 'flexible_seating', 'group_friendly', 'printing_nearby']",,,2026-05-03T19:48:14.067385+00:00,,Ackerman Union,moderate,False,"UCLA students, faculty, staff (unreserved rooms only)",Varies by room.,False,False,False,False,,,,,,,False,South Campus,4,2.33,67.0
Bruin Reflection Space,study_lounge,asucla_website,https://www.asucla.ucla.edu/study-lounges,34.0707,-118.444,Underrated for solo focused work. Very few people know about it.,,,,"Non-denominational space for contemplation, meditation, and prayer. Open to all Bruins. Extremely quiet.",,,"['quiet', 'wifi', 'calm_atmosphere', 'comfortable_seating']",,,2026-05-03T19:48:14.067536+00:00,,"Ackerman Union, 3rd Floor",silent,False,All Bruins,Check ASUCLA for current hours.,False,False,False,False,,,,,,,False,South Campus,4,6.33,67.0
Transfer Student Center Lounge,study_lounge,asucla_website,https://www.asucla.ucla.edu/study-lounges,34.0707,-118.444,Welcoming and rarely crowded. Good for commuters between classes.,,,,Lounge inside the UCLA Transfer Student Center. Also supports commuter and non-traditional students.,,,"['wifi', 'comfortable_seating', 'support_services_nearby']",,,2026-05-03T19:48:14.067659+00:00,,Ackerman Union,moderate,False,All students (transfer-focused),Check transfer center hours.,False,False,False,False,,,,,,,False,South Campus,3,2.0,67.0
Veteran Resource Center,study_lounge,asucla_website,https://www.asucla.ucla.edu/study-lounges,34.0713,-118.444,Tight-knit community. Great for veteran students.,,,,Welcoming space for UCLA student veterans. Open for studying and community.,,,"['wifi', 'comfortable_seating', 'community_focused']",,,2026-05-03T19:48:14.067770+00:00,,Kerckhoff Hall,quiet,False,UCLA student veterans,Check VRC for current hours.,False,False,False,False,,,,,,,False,Central Campus,3,4.0,0.0
Kerckhoff Coffeehouse,cafe,curated_asucla_dining,https://www.asucla.ucla.edu/ucla/kerckhoff-coffeehouse,34.0713,-118.444,Iconic spot but tables fill fast. The outdoor patio is less crowded and great in good weather.,,,,"UCLA's first coffee house (est. 1975). Stunning gothic architecture. Sum One coffee, pastries, sandwiches, grilled cheese + soup. Tables with outlets along the pillars.",,,"['wifi', 'outlets', 'coffee', 'food', 'historic_building', 'outdoor_patio']",,,2026-05-03T19:48:14.067882+00:00,,"Kerckhoff Hall, 2nd Floor",moderate,False,,,True,True,True,True,Outlets along the pillars — grab one early.,both,"Mon-Thu 7am-10pm, Fri 7am-7pm, Sat 8am-6pm, Sun 8am-8pm",,,,False,Central Campus,6,7.0,0.0
Cafe 451,cafe,curated_asucla_dining,https://www.asucla.ucla.edu/locations,34.0752,-118.4418,Best combo: coffee here then head upstairs to the quiet YRL stacks.,,,,"Named after Fahrenheit 451, written by Bradbury on this campus. Peet's coffee, pastries, sandwiches, salads, and sushi. Cozy study spot inside YRL.",,,"['wifi', 'outlets', 'coffee', 'food', 'library_adjacent', 'quiet_nearby']",,,2026-05-03T19:48:14.068004+00:00,,"Young Research Library (YRL), 1st Floor",moderate,False,,,True,True,True,True,Library wifi and outlets throughout YRL.,indoor,Check YRL hours — typically Mon-Fri 8am-6pm,,,,False,North Campus,6,7.0,0.0
Jimmy's Coffee House,cafe,curated_asucla_dining,https://www.asucla.ucla.edu/locations,34.0738,-118.4408,Student favorite — less hectic than Kerckhoff. The outdoor tables behind Dodd Hall nearby are a hidden gem.,,,,"Named after Olympian Jimmy Lu Valle. Peet's coffee, espresso, matcha, pastries, sushi, light lunch. Indoor seating almost always less crowded than Kerckhoff.",,,"['wifi', 'outlets', 'coffee', 'food', 'less_crowded', 'outdoor_seating']",,,2026-05-03T19:48:14.068121+00:00,,Lu Valle Commons,low_moderate,False,,,True,True,True,True,Some outlets — try to snag a table near the wall.,both,"Mon-Thu 7am-9pm, Fri 7am-5pm, Sat 8am-3pm, Sun 10am-4pm",,,,False,Central Campus,6,8.0,0.0
The Study at Hedrick,cafe,curated_asucla_dining,https://dining.ucla.edu/the-study-at-hedrick/,34.0731,-118.4484,Arguably the best study cafe on campus. The noise-canceling fish bowl carrels are legendary.,,,,"European-style bakery cafe that doubles as a serious study space. Private study carrels, quiet reading rooms, discussion rooms with writable walls, fireplace, natural light, and abundant outlets.",,,"['wifi', 'outlets', 'coffee', 'food', 'quiet', 'private_carrels', 'group_rooms', 'fireplace', 'natural_light', 'writable_walls']",,,2026-05-03T19:48:14.068233+00:00,,"Hedrick Hall, The Hill",quiet,False,,,True,True,True,True,Abundant outlets throughout.,indoor,Check dining.ucla.edu for current hours,,,,False,Central Campus,10,9.0,0.0
Music Cafe,cafe,curated_asucla_dining,https://www.asucla.ucla.edu/locations,34.0706,-118.4396,Less known than Kerckhoff but equally charming. Next to the Inverted Fountain — a calming spot.,,,,"Modern cafe in the renovated Ostin Music Center near the Inverted Fountain. Sum One coffee, pastries, lunch items. Great atmosphere for music lovers and artists.",,,"['wifi', 'outlets', 'coffee', 'food', 'artistic_atmosphere']",,,2026-05-03T19:48:14.068338+00:00,,Ostin Music Center,low_moderate,False,,,True,True,True,True,A few outlets — arrive early for a good seat.,indoor,"Mon-Thu 7am-6pm, Fri 7am-5pm, Sat-Sun Closed",,,,False,South Campus,5,7.67,0.0
Bruin Cafe,cafe,curated_asucla_dining,https://dining.ucla.edu/bruin-cafe/,34.0728,-118.4476,Convenient for Hill residents. Outdoor patio is great on sunny LA days.,,,,"Casual dining cafe with indoor space and outdoor patio. Sandwiches, salads, soups, specialty coffees, teas, smoothies. Both indoor and outdoor areas are great study spots.",,,"['wifi', 'outlets', 'coffee', 'food', 'outdoor_patio', 'on_the_hill']",,,2026-05-03T19:48:14.068633+00:00,,Sproul Hall,moderate,False,,,True,True,True,True,Outlets available indoors.,both,Check dining.ucla.edu for current hours,,,,False,Central Campus,6,7.0,0.0
Anderson School Cafe (Starbucks),cafe,curated_asucla_dining,https://www.asucla.ucla.edu/locations,34.073,-118.4397,Great for a quick coffee before heading to the Management Library next door.,,,,Starbucks inside Anderson School of Management. Accepts ASUCLA meal vouchers. Shaded outdoor seating nearby.,,,"['wifi', 'coffee', 'food', 'shaded_outdoor_seating', 'meal_vouchers']",,,2026-05-03T19:48:14.068849+00:00,,Anderson School of Management,moderate,False,,,True,True,True,False,Limited outlets — mostly grab-and-go.,both,"Mon-Fri 7am-5pm approx, Sat-Sun Closed",,,,False,Central Campus,5,4.67,0.0
North Campus Student Center,cafe,curated_asucla_dining,https://www.asucla.ucla.edu/locations,34.0753,-118.4404,"Rapid access to coffee, boba, and food makes this a great base for long study days.",,,,"Cluster of student-run restaurants near Rolfe Hall and the Robert Graham Sculpture Court. Includes coffee, boba, bowls, and quick bites. Large indoor and outdoor seating — popular study hub.",,,"['wifi', 'outlets', 'coffee', 'food', 'outdoor_seating', 'group_friendly']",,,2026-05-03T19:48:14.068987+00:00,,North Campus Student Center,moderate,False,,,True,True,True,True,Outlets in seating areas — availability varies.,both,Varies — generally Mon-Fri daytime,,,,False,North Campus,6,7.0,0.0
Franklin D. Murphy Sculpture Garden,outdoor,curated,,34.0754,-118.4396,One of the most beautiful spots on campus. Especially magical during jacaranda season (April-May).,,,,"5-acre outdoor sculpture museum with works by Calder, Rodin, Noguchi, Matisse, and Miro. Grassy hills, benches, shaded tables among sculptures and flowering trees. Jacaranda trees bloom brilliantly in spring.",,,"['outdoor', 'peaceful', 'benches', 'tables', 'shaded', 'picnic_friendly']",,,2026-05-03T19:48:14.069114+00:00,,,quiet,False,,,False,False,False,False,,,,North Campus,Cafe 451 (YRL) and North Campus Student Center nearby,"solo study, reading, mental reset",True,North Campus,6,4.0,75.0
Kerckhoff Patio,outdoor,curated,,34.0713,-118.4438,Go early — tables fill fast. The shaded umbrella tables are premium spots.,,,,Outdoor patio directly outside Kerckhoff Hall. Tables shaded by umbrellas or trees plus open sunny spots. Steps from Kerckhoff Coffeehouse. Indoor/outdoor combo unbeatable on good weather days.,,,"['outdoor', 'shaded_tables', 'sunny_spots', 'coffee_steps_away']",,,2026-05-03T19:48:14.069238+00:00,,,low_moderate,False,,,False,False,False,False,,,,Central Campus,Kerckhoff Coffeehouse steps away,"casual study, outdoor coffee sessions",True,Central Campus,4,2.33,18.0
Inverted Fountain Area,outdoor,curated,,34.0695,-118.4419,Underrated as a study spot. Most people walk past rather than stop. The shaded pine benches are extremely peaceful.,,,,The iconic Inverted Fountain (1968) where water flows downward. Surrounded by tall pine trees and benches. The sound of flowing water creates a naturally calming study environment.,,,"['outdoor', 'shaded', 'benches', 'calming_sound', 'iconic']",,,2026-05-03T19:48:14.069357+00:00,,,quiet,False,,,False,False,False,False,,,,South Campus (near Franz Hall),Music Cafe (Ostin Music Center) adjacent,"reading, solo study, mental reset",True,South Campus,5,3.67,245.0
Lu Valle Commons Outdoor Area,outdoor,curated,,34.0738,-118.4408,A genuinely hidden gem. The Dodd/law school courtyard is very secluded. Perfect for students with North Campus classes.,,,,The private lawn and outdoor tables behind Dodd Hall next to Lu Valle Commons. The nearby courtyard between Dodd Hall and the law school is secluded and peaceful.,,,"['outdoor', 'tables', 'shaded', 'private_feel', 'coffee_adjacent']",,,2026-05-03T19:48:14.069471+00:00,,,quiet,False,,,False,False,False,False,,,,North Campus (behind Dodd Hall),Jimmy's Coffee House at Lu Valle Commons,"solo or pair study, reading between North Campus classes",True,Central Campus,5,3.67,0.0
Ackerman Union Outdoor Terrace,outdoor,curated,,34.0707,-118.4443,Gets busy mid-day. Better in the morning or late afternoon.,,,,"Outdoor seating area on the Ackerman Union terrace overlooking Ackerman Square. Shaded seating with a view of central campus. Close to printing, food, and the UCLA Store.",,,"['outdoor', 'shaded', 'central_location', 'views', 'printing_nearby']",,,2026-05-03T19:48:14.069729+00:00,,,moderate,False,,,False,False,False,False,,,,Central Campus,Multiple ASUCLA options inside Ackerman Union,"casual study, group meetups, between-class sessions",True,South Campus,5,1.67,72.0
Bunche Hall Palm Court,outdoor,curated,,34.0748,-118.4409,Most people walk right past it. Feels outdoors but protected from weather. One of campus's true hidden gems.,,,,"A hidden atrium inside Bunche Hall (social sciences building). Palm tree-filled internal courtyard spanning four floors. Quiet, sheltered from wind, largely unknown outside social science students.",,,"['outdoor_feel', 'sheltered', 'quiet', 'hidden_gem', 'natural_light']",,,2026-05-03T19:48:14.069936+00:00,,,quiet,False,,,False,False,False,False,,,,North Campus,North Campus Student Center nearby,"solo focus work, reading",False,North Campus,5,4.67,72.0
Mathias Botanical Garden,outdoor,curated,,34.0666,-118.4404,Not for laptop work — no outlets. Perfect for reading a textbook on a warm afternoon or a mental break during finals.,,,,"7-acre botanical garden with plant specimens from around the world. A stream, tropical plants, towering old trees, and flowers. Free admission. Best for reading or unwinding during long study days.",,,"['outdoor', 'nature', 'peaceful', 'free_admission', 'walking_paths']",,,2026-05-03T19:48:14.070238+00:00,,,very_quiet,False,,,False,False,False,False,,,,Southeast Campus,Limited — Biomedical Library area,"reading, decompression, light study",True,South Campus,5,4.67,451.0
Court of Sciences,outdoor,curated,,34.0685,-118.4428,Best during off-peak hours. Limited shade — bring sunscreen for long sessions.,,,,"Open plaza surrounded by engineering and science buildings. Benches, tables, and open space used by STEM students between classes. Easy access to Boelter Hall, Young Hall, and the SEL.",,,"['outdoor', 'tables', 'benches', 'collaborative', 'stem_adjacent']",,,2026-05-03T19:48:14.070366+00:00,,,low_moderate,False,,,False,False,False,False,,,,South Campus,Vending machines nearby; Bruin Cafe within walking distance,"group study, collaborative work, between-class sessions for STEM students",True,South Campus,5,2.67,330.0
